Player,Team,Position,FG Attempted,FG Made,XP Attempted,XP Made,Longest FG
Jason Myers,SEA,K,42,35,33,33,55
Matt Gay,IND,K,41,33,36,35,57
Brandon Aubrey,DAL,K,38,36,52,49,60
Cairo Santos,CHI,K,38,35,33,31,55
Greg Zuerlein,NYJ,K,38,35,16,15,55
Justin Tucker,BAL,K,37,32,52,51,50
Blake Grupe,NOR,K,37,30,40,40,55
Brandon McManus,JAX,K,37,30,35,35,56
Younghoe Koo,ATL,K,37,32,28,27,54
Dustin Hopkins,CLE,K,36,33,26,24,58
Harrison Butker,KAN,K,35,33,38,38,60
Wil Lutz,DEN,K,34,30,31,29,52
Anders Carlson,GNB,K,33,27,39,34,53
Cameron Dicker,LAC,K,33,31,35,35,55
Matt Prater,ARI,K,33,28,23,22,62
Jake Elliott,PHI,K,32,30,46,45,61
Evan McPherson,CIN,K,31,26,40,40,56
Chase McLaughlin,TAM,K,31,29,33,33,57
Chris Boswell,PIT,K,31,29,28,27,57
Greg Joseph,MIN,K,30,24,38,36,54
Daniel Carlson,LVR,K,30,26,32,32,54
Nick Folk,TEN,K,30,29,30,28,53
Tyler Bass,BUF,K,29,24,50,49,54
Eddy Pineiro,CAR,K,29,25,20,17,56
Jason Sanders,MIA,K,28,24,59,58,57
Ka'imi Fairbairn,HOU,K,28,27,22,21,54
Jake Moody,SFO,K,25,21,61,60,57
Chad Ryland,NWE,K,25,16,25,24,56
Joey Slye,WAS,K,24,19,35,32,61
Brett Maher,LAR,K,23,17,15,13,54
Lucas Havrisik,LAR,K,20,15,22,19,52
Riley Patterson,2TM,K,18,16,44,41,52
Graham Gano,NYG,K,17,11,8,8,57
Matt Ammendola,HOU,K,9,6,11,10,45
Mason Crosby,NYG,K,7,5,7,6,52
Randy Bullock,NYG,K,6,5,10,10,56
Michael Badgley,DET,K,4,4,15,13,41
Austin Seibert,NYJ,K,1,1,1,1,34
Dare Ogunbowale,HOU,RB,1,1,,,29
Jamie Gillan,NYG,P,1,1,,,40
Matthew Wright,CAR,K,1,,,,
Jack Fox,DET,P,,,,,
Ethan Evans,LAR,P,,,,,
Jake Camarda,TAM,P,,,,,
Bradley Pinion,ATL,P,,,,,
Trenton Gill,CHI,P,,,,,
Ty Zentner,2TM,K-P,,,,,
Jake Bailey,MIA,P,,,,,
Mitch Wishnowsky,SFO,P,,,,,
Thomas Morstead,NYJ,P,,,,,
Corey Bojorquez,CLE,P,,,,,
Kamu Grugier-Hill,CAR,LB,,,,,
Jordan Stout,BAL,P,,,,,
Bryce Baringer,NWE,P,,,,,
D'Anthony Bell,CLE,S,,,,,
Riley Dixon,DEN,P,,,,,
Johnny Hekker,CAR,P,,,,,
Cameron Johnston,HOU,P,,,,,
Rigoberto Sanchez,IND,P,,,,,
Ryan Wright,MIN,P,,,,,
