Player,Team,Position,Passing Yards,Passing TDs,Interceptions,Yards/Completion,P Yard/Game
Tua Tagovailoa,MIA,QB,4624,29,14,11.9,272.0
Jared Goff,DET,QB,4575,30,12,11.2,269.1
Dak Prescott,DAL,QB,4516,36,9,11.0,265.6
Josh Allen,BUF,QB,4306,29,18,11.2,253.3
Brock Purdy,SFO,QB,4280,31,11,13.9,267.5
Patrick Mahomes,KAN,QB,4183,27,14,10.4,261.4
Jordan Love,GNB,QB,4159,32,11,11.2,244.6
C.J. Stroud,HOU,QB,4108,23,5,12.9,273.9
Baker Mayfield,TAM,QB,4044,28,10,11.1,237.9
Trevor Lawrence,JAX,QB,4016,21,14,10.9,251.0
Matthew Stafford,LAR,QB,3965,24,11,12.2,264.3
Sam Howell,WAS,QB,3946,21,21,10.2,232.1
Derek Carr,NOR,QB,3878,25,8,10.3,228.1
Jalen Hurts,PHI,QB,3858,23,15,11.0,226.9
Lamar Jackson,BAL,QB,3678,24,7,12.0,229.9
Geno Smith,SEA,QB,3624,20,9,11.2,241.6
Gardner Minshew II,IND,QB,3305,15,9,10.8,194.4
Justin Herbert,LAC,QB,3134,20,7,10.6,241.1
Russell Wilson,DEN,QB,3070,26,8,10.3,204.7
Bryce Young,CAR,QB,2877,11,10,9.1,179.8
Desmond Ridder,ATL,QB,2836,12,12,11.4,189.1
Justin Fields,CHI,QB,2562,16,9,11.3,197.1
Joshua Dobbs,2TM,QB,2464,13,10,9.4,189.5
Kirk Cousins,MIN,QB,2331,18,5,10.8,291.4
Joe Burrow,CIN,QB,2309,15,6,9.5,230.9
Zach Wilson,NYJ,QB,2271,8,7,10.3,189.3
Aidan O'Connell,LVR,QB,2218,12,7,10.4,201.6
Mac Jones,NWE,QB,2120,10,12,9.5,192.7
Kenny Pickett,PIT,QB,2070,6,4,10.3,172.5
Jake Browning,CIN,QB,1936,12,7,11.3,215.1
Will Levis,TEN,QB,1808,8,4,12.1,200.9
Kyler Murray,ARI,QB,1799,10,5,10.2,224.9
Joe Flacco,CLE,QB,1616,13,8,13.1,323.2
Ryan Tannehill,TEN,QB,1616,4,7,10.8,161.6
