Player,Team,Position,Receptions,Receiving Yards,Receiving TDs,Re Yard/Avg,Re Yard/Game
CeeDee Lamb,DAL,WR,135,1749,12,13.0,102.9
Tyreek Hill,MIA,WR,119,1799,13,15.1,112.4
Amon-Ra St. Brown,DET,WR,119,1515,10,12.7,94.7
Evan Engram,JAX,TE,114,963,4,8.4,56.6
Michael Pittman Jr.,IND,WR,109,1152,4,10.6,72.0
Keenan Allen,LAC,WR,108,1243,7,11.5,95.6
Stefon Diggs,BUF,WR,107,1183,8,11.1,69.6
A.J. Brown,PHI,WR,106,1456,7,13.7,85.6
Puka Nacua,LAR,WR,105,1486,6,14.2,87.4
Davante Adams,LVR,WR,103,1144,8,11.1,67.3
Adam Thielen,CAR,WR,103,1014,4,9.8,59.6
Ja'Marr Chase,CIN,WR,100,1216,7,12.2,76.0
D.J. Moore,CHI,WR,96,1364,8,14.2,80.2
T.J. Hockenson,MIN,TE,95,960,5,10.1,64.0
Garrett Wilson,NYJ,WR,95,1042,3,11.0,61.3
Travis Kelce,KAN,TE,93,984,5,10.6,65.6
Chris Olave,NOR,WR,87,1123,5,12.9,70.2
Sam LaPorta,DET,TE,86,889,10,10.3,52.3
Chris Godwin,TAM,WR,83,1024,2,12.3,60.2
Trey McBride,ARI,TE,81,825,3,10.2,48.5
David Njoku,CLE,TE,81,882,6,10.9,55.1
DeVonta Smith,PHI,WR,81,1066,7,13.2,66.6
Nico Collins,HOU,WR,80,1297,8,16.2,86.5
Mike Evans,TAM,WR,79,1255,13,15.9,73.8
Tyler Lockett,SEA,WR,79,894,5,11.3,52.6
Terry McLaurin,WAS,WR,79,1002,4,12.7,58.9
Rashee Rice,KAN,WR,79,938,7,11.9,58.6
Zay Flowers,BAL,WR,77,858,5,11.1,53.6
Breece Hall,NYJ,RB,76,591,4,7.8,34.8
Calvin Ridley,JAX,WR,76,1016,8,13.4,59.8
Brandon Aiyuk,SFO,WR,75,1342,7,17.9,83.9
DeAndre Hopkins,TEN,WR,75,1057,7,14.1,62.2
Alvin Kamara,NOR,RB,75,466,1,6.2,35.8
Dalton Kincaid,BUF,TE,73,673,2,9.2,42.1
Cole Kmet,CHI,TE,73,719,6,9.8,42.3
Amari Cooper,CLE,WR,72,1250,5,17.4,83.3
Jaylen Waddle,MIA,WR,72,1014,4,14.1,72.4
Jake Ferguson,DAL,TE,71,761,5,10.7,44.8
Jakobi Meyers,LVR,WR,71,807,8,11.4,50.4
Jordan Addison,MIN,WR,70,911,10,13.0,53.6
Drake London,ATL,WR,69,905,2,13.1,56.6
Josh Downs,IND,WR,68,771,2,11.3,45.4
Justin Jefferson,MIN,WR,68,1074,5,15.8,107.4
Tyler Boyd,CIN,WR,67,667,2,10.0,39.2
Christian McCaffrey,SFO,RB,67,564,7,8.4,35.3
D.K. Metcalf,SEA,WR,66,1114,8,16.9,69.6
George Kittle,SFO,TE,65,1020,6,15.7,63.8
Jayden Reed,GNB,WR,64,793,8,12.4,49.6
Rachaad White,TAM,RB,64,549,3,8.6,32.3
George Pickens,PIT,WR,63,1140,5,18.1,67.1
