Player,Team,Position,Rushing Yards,Rushing TDs,R Yard/Avg,R Yard/Game
Derrick Henry,TEN,RB,1167,12,4.2,68.6
Christian McCaffrey,SFO,RB,1459,14,5.4,91.2
Rachaad White,TAM,RB,990,6,3.6,58.2
Travis Etienne,JAX,RB,1008,11,3.8,59.3
Joe Mixon,CIN,RB,1034,9,4.0,60.8
Najee Harris,PIT,RB,1035,8,4.1,60.9
Tony Pollard,DAL,RB,1005,6,4.0,59.1
Saquon Barkley,NYG,RB,962,6,3.9,68.7
Chuba Hubbard,CAR,RB,902,5,3.8,53.1
James Cook,BUF,RB,1122,2,4.7,66.0
Josh Jacobs,LVR,RB,805,6,3.5,61.9
D'Andre Swift,PHI,RB,1049,5,4.6,65.6
Kyren Williams,LAR,RB,1144,12,5.0,95.3
Breece Hall,NYJ,RB,994,5,4.5,58.5
David Montgomery,DET,RB,1015,13,4.6,72.5
Kenneth Walker III,SEA,RB,905,8,4.1,60.3
Javonte Williams,DEN,RB,774,3,3.6,48.4
Devin Singletary,HOU,RB,898,4,4.2,52.8
Bijan Robinson,ATL,RB,976,4,4.6,57.4
Raheem Mostert,MIA,RB,1012,18,4.8,67.5
James Conner,ARI,RB,1040,7,5.0,80.0
Isiah Pacheco,KAN,RB,935,7,4.6,66.8
Jerome Ford,CLE,RB,813,4,4.0,47.8
Gus Edwards,BAL,RB,810,13,4.1,47.6
Tyler Allgeier,ATL,RB,683,4,3.7,40.2
Ezekiel Elliott,NWE,RB,642,3,3.5,37.8
Zack Moss,IND,RB,794,5,4.3,56.7
Jahmyr Gibbs,DET,RB,945,10,5.2,63.0
Alvin Kamara,NOR,RB,694,5,3.9,53.4
Alexander Mattison,MIN,RB,700,0,3.9,43.8
Austin Ekeler,LAC,RB,628,5,3.5,44.9
AJ Dillon,GNB,RB,613,2,3.4,40.9
Brian Robinson Jr.,WAS,RB,733,5,4.1,48.9
Jonathan Taylor,IND,RB,741,7,4.4,74.1
Jalen Hurts,PHI,QB,605,15,3.9,35.6
